manufacturer,sku,colour_name,hex,lab_l,lab_a,lab_b,matched_standard
Arriscraft International,ARRIS-MIDNIGHT-ALSB-W,Midnight Grey,#3A3A3A,24.4213,0.0027,0.0012,Grey
Arriscraft International,ARRIS-MIDNIGHT-ALSB-CS,Midnight Grey,#3A3A3A,24.4213,0.0027,0.0012,Grey
Arriscraft International,ARRIS-MILLSTON-ALSB-W,Millstone,#7A7268,48.4756,1.2494,6.6551,Grey
Arriscraft International,ARRIS-MILLSTON-ALSB-CS,Millstone,#7A7268,48.4756,1.2494,6.6551,Grey
Arriscraft International,ARRIS-OBSIDIAN-ALSB-W,Obsidian,#1A1A1A,9.2632,0.0017,0.0008,Grey
Arriscraft International,ARRIS-OBSIDIAN-ALSB-CS,Obsidian,#1A1A1A,9.2632,0.0017,0.0008,Grey
Arriscraft International,ARRIS-OPAL-ALSB-W,Opal,#C8C0B8,78.1337,1.4039,5.0261,Grey
Arriscraft International,ARRIS-OPAL-ALSB-CS,Opal,#C8C0B8,78.1337,1.4039,5.0261,Grey
Arriscraft International,ARRIS-RED-SUMA-ALSB-GRH,Red Sumac,#A03020,37.2835,45.3395,35.767,Red
Arriscraft International,ARRIS-RED-SUMA-ALSB-GS,Red Sumac,#A03020,37.2835,45.3395,35.767,Red
Arriscraft International,ARRIS-WALNUT-ALSB-W,Walnut,#5A4030,29.5479,9.0134,14.2381,Brown
Arriscraft International,ARRIS-WALNUT-ALSB-CS,Walnut,#5A4030,29.5479,9.0134,14.2381,Brown
Arriscraft International,ARRIS-WHITE-PE-ALSB-GRH,White Pearl,#F0EDE6,93.7998,-0.2014,3.7426,White
Arriscraft International,SKU-ALPIN-9733,White,#000000,0,0,0,White
Arriscraft International,SKU-BLIZZ-1557,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-CHARC-1192,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-IVORY-4804,Cream,#000000,0,0,0,Cream
Arriscraft International,SKU-MIDNI-8632,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-MYSTI-2999,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-MYSTI-6394,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-OBSID-9901,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-OPAL-5472,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-PHOEN-3382,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-PLATI-5008,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-SILVE-8938,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-TOFIN-2970,Grey,#000000,0,0,0,Grey
Arriscraft International,SKU-WEATH-7061,Brown,#000000,0,0,0,Grey
Canada Brick,CB-VANIER,Black,#473F3A,27.2974,2.451,4.3201,Black
Canada Brick,CB-SHADOW-RIDGE-VELOUR-2,Black,#666765,43.4555,-0.7972,0.9914,Grey
Canada Brick,CB-LABRADOR,Black,#564F4C,34.1742,2.2904,2.8122,Black
Canada Brick,CB-TUXEDO,Black,#4B4947,31.1511,0.4065,1.4903,Black
Canada Brick,CB-SHADOW-RIDGE-MATT,Black,#636564,42.582,-0.9833,0.2941,Grey
Canada Brick,CB-IRONSTONE,Black,#5A5751,37.0855,0.0046,3.9162,Black
Canada Brick,CB-BLACK-CORAL-AVANTI,Black,#8A8988,57.1457,0.18,0.6674,Grey
Canada Brick,CB-SHADOW-RIDGE-VELOUR,Black,#636563,42.5528,-1.1913,0.8593,Grey
Canada Brick,CB-KINGSWAY-BLEND,Blend,#836F60,48.3088,5.3796,11.2762,Brown
Canada Brick,CB-SUNNYBROOK-BLEND,Blend,#9B8566,56.7848,3.6294,19.8321,Buff
Canada Brick,CB-PORT-ELGIN,Blend,#956A50,48.6069,13.8585,21.3946,Red
Canada Brick,CB-CARLETON-BLEND,Blend,#7B624F,43.5231,7.1632,14.6486,Brown
Canada Brick,CB-PORT-DOVER,Blend,#91745A,50.9769,7.5481,18.681,Red
Canada Brick,CB-SONOMA-SMOOTH,Brown,#82695A,46.4281,7.5827,12.1995,Brown
Canada Brick,CB-SONOMA-SMOOTH-IRONSPOT,Brown,#847060,48.6836,5.2134,11.8144,Brown
Canada Brick,CB-WESTFORD-SQUARE,Brown,#786F63,47.3174,1.3192,7.9496,Brown
Canada Brick,CB-RICHLAND-MATT,Brown,#928371,55.62,2.6508,11.8149,Brown
Canada Brick,CB-DAKOTA,Brown,#8F7B6F,53.1168,5.6925,9.408,Grey
Canada Brick,CB-DUNKERRON-MATT,Brown,#766759,44.6224,3.5376,10.0942,Brown
Canada Brick,CB-DUNKERRON-SMOOTH,Brown,#726355,42.9988,3.5817,10.1695,Brown
Canada Brick,CB-DUNKERRON-SMOOTH-IRONSPOT,Brown,#77685A,45.0266,3.5269,10.0758,Brown
Canada Brick,CB-ALBION,Brown,#5D493E,32.7884,6.6736,9.8161,Brown
Canada Brick,CB-RUTHERFORD,Brown,#6B5B4C,39.7982,3.9561,11.0684,Brown
Canada Brick,CB-SONOMA-BARK,Brown,#77543F,38.9355,11.7599,18.0376,Brown
Canada Brick,CB-WEATHERED-OAK-TUMBLED-VINTAGE-BRICK,Brown,#898171,54.2503,0.1755,9.7696,Cream
Canada Brick,CB-SONOMA-BRUSHTEX,Brown,#77563F,39.4731,10.5548,18.7466,Brown
Canada Brick,CB-HERITAGE-BROWN,Brown,#845D44,42.9908,12.7328,20.6713,Brown
Canada Brick,CB-BRUNSWICK-MATT,Brown,#785F50,42.3943,7.7919,12.4451,Brown
Canada Brick,CB-HICKORY-VELOUR,Brown,#766553,43.9208,3.7929,12.7149,Brown
Canada Brick,CB-IRONSPOT-MK-II,Brown,#827163,48.8307,4.2637,10.2207,Brown
Canada Brick,CB-VINTAGE-MATT,Brown,#765D4D,41.5575,7.6952,13.073,Brown
Canada Brick,CB-MAHOGANY-VELOUR-IRONSPOT,Brown,#706052,41.8755,4.0451,10.3851,Brown
Canada Brick,CB-SONOMA-MATT,Brown,#705D4E,40.9342,5.2298,11.5049,Brown
Canada Brick,CB-CALEDONIA,Brown,#776756,44.6521,3.4912,11.9474,Brown
Canada Brick,CB-MIDNIGHT-GREY-ARCHITECTURAL-LINEAR-SERIES-BRICK,Brown,#988D85,59.3598,2.6672,5.7404,Grey
Canada Brick,CB-BALLYCROY-MATT,Buff,#968364,55.7222,2.4057,19.4467,Grey
Canada Brick,CB-TAUPE-SMOOTH,Buff,#84735D,49.4443,3.0229,14.63,Buff
